02;00;01;27;82
14;00;01;29;72
13;00;01;32;76
06;00;01;35;09
08;00;01;37;06
11;00;01;38;50
05;00;01;41;74
15;00;01;42;43
01;00;01;43;67
07;00;01;45;10
09;00;01;46;53
12;00;01;48;88
04;00;01;49;59
10;00;01;55;25
03;00;02;04;29
08;00;03;05;89
13;00;03;09;66
02;00;03;18;94
11;00;03;22;22
12;00;03;24;75
01;00;03;25;67
05;00;03;26;49
06;00;03;27;63
09;00;03;28;32
14;00;03;28;91
15;00;03;31;92
04;00;03;34;73
10;00;03;36;37
03;00;03;39;06
07;00;03;40;78
12;00;04;53;90
13;00;04;54;47
11;00;04;59;69
08;00;05;01;03
06;00;05;03;13
01;00;05;04;21
05;00;05;05;51
14;00;05;08;83
02;00;05;10;03
10;00;05;11;36
04;00;05;14;49
15;00;05;15;69
03;00;05;19;27
07;00;05;20;29
09;00;05;24;52
06;00;06;35;64
13;00;06;36;71
12;00;06;38;49
08;00;06;40;24
14;00;06;41;05
01;00;06;47;17
10;00;06;51;13
05;00;06;52;06
02;00;06;54;85
15;00;06;57;11
11;00;06;58;49
03;00;07;02;69
07;00;07;04;33
09;00;07;08;51
04;00;07;22;15
13;00;08;04;43
06;00;08;07;27
14;00;08;07;94
12;00;08;09;30
01;00;08;18;00
08;00;08;23;39
05;00;08;31;33
15;00;08;32;40
11;00;08;34;89
02;00;08;36;48
10;00;08;40;31
03;00;08;41;30
09;00;08;50;03
04;00;08;54;24
07;00;08;56;17
13;00;09;37;28
12;00;09;53;94
14;00;09;57;11
06;00;09;59;49
01;00;10;01;81
08;00;10;03;04
15;00;10;06;00
11;00;10;10;19
02;00;10;12;88
05;00;10;14;09
10;00;10;19;84
07;00;10;38;65
09;00;10;43;68
04;00;10;45;95
03;00;10;57;76
13;00;11;14;58
12;00;11;30;97
01;00;11;33;11
06;00;11;46;71
02;00;11;47;87
15;00;11;49;54
14;00;11;51;71
11;00;11;53;16
08;00;11;56;23
05;00;11;57;82
07;00;12;03;69
10;00;12;15;04
09;00;12;20;93
04;00;12;22;64
03;00;12;24;07
13;00;12;49;74
12;00;13;08;58
06;00;13;15;43
01;00;13;19;99
14;00;13;22;01
02;00;13;23;36
11;00;13;24;37
15;00;13;26;09
09;00;13;53;56
04;00;13;57;15
08;00;14;03;85
05;00;14;04;91
10;00;14;08;10
07;00;14;13;61
03;00;14;19;46
13;00;14;48;83
02;00;14;53;11
06;00;14;57;69
15;00;15;04;19
14;00;15;07;06
01;00;15;09;39
12;00;15;10;37
05;00;15;34;46
11;00;15;37;18
09;00;15;43;86
08;00;15;44;38
07;00;15;49;68
04;00;15;52;80
03;00;15;53;66
10;00;16;08;87
13;00;16;22;24
02;00;16;22;76
12;00;16;36;75
14;00;16;37;27
06;00;16;40;87
01;00;16;43;98
15;00;16;58;77
05;00;17;06;82
11;00;17;15;21
08;00;17;16;48
09;00;17;28;24
07;00;17;36;38
03;00;17;37;74
04;00;17;47;12
10;00;17;53;13
02;00;17;53;73
13;00;17;57;78
12;00;18;12;78
06;00;18;14;22
01;00;18;17;13
14;00;18;18;08
05;00;18;38;34
15;00;18;43;07
11;00;18;52;56
09;00;19;06;62
08;00;19;09;56
07;00;19;15;52
04;00;19;21;11
10;00;19;21;96
02;00;19;26;38
03;00;19;28;23
13;00;19;47;63
12;00;19;51;56
06;00;19;53;36
14;00;19;56;85
01;00;19;58;10
15;00;20;19;78
11;00;20;26;28
05;00;20;43;63
09;00;20;48;02
08;00;20;52;28
03;00;20;58;85
04;00;20;59;93
10;00;21;08;38
13;00;21;14;93
07;00;21;18;52
14;00;21;33;98
06;00;21;38;16
01;00;21;39;54
02;00;21;42;46
12;00;21;47;12
15;00;22;08;37
05;00;22;17;45
11;00;22;26;16
08;00;22;26;95
09;00;22;27;99
04;00;22;36;95
03;00;22;48;74
13;00;22;52;04
10;00;22;53;26
07;00;23;03;47
06;00;23;12;87
01;00;23;17;53
12;00;23;21;48
02;00;23;24;96
14;00;23;31;42
15;00;23;36;54
05;00;24;09;47
04;00;24;14;36
09;00;24;15;60
11;00;24;17;62
13;00;24;25;96
03;00;24;32;85
10;00;24;35;47
07;00;24;38;18
08;00;24;41;14
01;00;24;47;42
06;00;24;55;72
12;00;24;56;90
14;00;25;04;41
02;00;25;05;22
15;00;25;11;88
05;00;25;50;48
11;00;25;57;82
04;00;26;01;54
03;00;26;06;30
09;00;26;06;93
07;00;26;12;42
08;00;26;16;61
01;00;26;27;14
13;00;26;29;55
02;00;26;31;72
10;00;26;33;81
14;00;26;35;01
06;00;26;45;81
12;00;26;48;12
15;00;27;11;54
11;00;27;40;42
09;00;27;45;12
05;00;27;49;17
04;00;27;53;11
07;00;27;57;24
13;00;27;59;73
03;00;28;05;00
14;00;28;12;97
12;00;28;13;91
02;00;28;16;09
08;00;28;20;10
01;00;28;23;01
06;00;28;41;86
10;00;28;43;15
15;00;29;01;06
11;00;29;19;30
04;00;29;28;34
07;00;29;32;63
09;00;29;34;00
13;00;29;36;82
05;00;29;42;74
01;00;29;48;98
08;00;29;52;47
14;00;29;55;24
12;00;29;57;45
02;00;29;59;03
03;00;30;00;12
06;00;30;17;04
10;00;30;39;71
15;00;30;40;31
09;00;31;00;33
07;00;31;09;92
04;00;31;13;27
11;00;31;15;58
13;00;31;22;40
02;00;31;28;53
05;00;31;37;05
12;00;31;40;97
01;00;31;45;52
08;00;31;49;36
03;00;31;51;98
14;00;31;57;70
06;00;32;02;74
10;00;32;20;70
15;00;32;21;85
09;00;32;40;22
07;00;32;48;79
11;00;32;49;92
04;00;32;51;15
13;00;33;02;94
02;00;33;04;25
12;00;33;19;73
08;00;33;24;61
05;00;33;30;85
03;00;33;40;75
06;00;33;46;54
01;00;33;48;10
14;00;33;57;11
10;00;34;10;14
15;00;34;13;64
09;00;34;17;47
04;00;34;36;72
11;00;34;39;23
02;00;34;42;25
07;00;34;43;40
13;00;34;45;13
08;00;35;01;03
03;00;35;20;03
12;00;35;21;44
06;00;35;27;15
05;00;35;27;68
14;00;35;30;96
01;00;35;45;75
10;00;35;53;14
15;00;35;55;22
